SEGREF,easting,northing
NR_R,170000,630000
NR_S,170000,650000
NR_T,170000,670000
NR_U,170000,690000
NR_V,190000,610000
NR_W,190000,630000
NR_X,190000,650000
NR_Y,190000,670000
NR_Z,190000,690000
NS_A,210000,610000
NS_B,210000,630000
NS_C,210000,650000
NS_D,210000,670000
NS_E,210000,690000
NS_F,230000,610000
NS_G,230000,630000
NS_H,230000,650000
NS_I,230000,670000
NS_J,230000,690000
NS_K,250000,610000
NS_L,250000,630000
NS_M,250000,650000
NS_N,250000,670000
NS_P,250000,690000
NS_Q,270000,610000
NS_R,270000,630000
NS_S,270000,650000
NS_T,270000,670000
NS_U,270000,690000
NS_V,290000,610000
NS_W,290000,630000
NS_X,290000,650000
NS_Y,290000,670000
NS_Z,290000,690000
NT_A,310000,610000
NT_B,310000,630000
NT_C,310000,650000
NT_D,310000,670000
NT_E,310000,690000
NT_F,330000,610000
NT_G,330000,630000
NT_H,330000,650000
NT_I,330000,670000
NT_J,330000,690000
NT_K,350000,610000
NT_L,350000,630000
NT_M,350000,650000
NT_N,350000,670000
NT_P,350000,690000
NT_Q,370000,610000
NT_R,370000,630000
NT_S,370000,650000
NT_T,370000,670000
NT_U,370000,690000
NT_V,390000,610000
NT_W,390000,630000
NT_X,390000,650000
NT_Y,390000,670000
NT_Z,390000,690000
NU_A,410000,610000
NU_B,410000,630000
NU_C,410000,650000
NU_D,410000,670000
NU_E,410000,690000
NU_F,430000,610000
NU_G,430000,630000
NU_H,430000,650000
NU_I,430000,670000
NW_X,190000,550000
NW_Y,190000,570000
NX_A,210000,510000
NX_B,210000,530000
NX_C,210000,550000
NX_D,210000,570000
NX_E,210000,590000
NX_F,230000,510000
NX_G,230000,530000
NX_H,230000,550000
NX_I,230000,570000
NX_J,230000,590000
NX_K,250000,510000
NX_L,250000,530000
NX_M,250000,550000
NX_N,250000,570000
NX_P,250000,590000
NX_Q,270000,510000
NX_R,270000,530000
NX_S,270000,550000
NX_T,270000,570000
NX_U,270000,590000
NX_V,290000,510000
NX_W,290000,530000
NX_X,290000,550000
NX_Y,290000,570000
NX_Z,290000,590000
NY_A,310000,510000
NY_B,310000,530000
NY_C,310000,550000
NY_D,310000,570000
NY_E,310000,590000
NY_F,330000,510000
NY_G,330000,530000
NY_H,330000,550000
NY_I,330000,570000
NY_J,330000,590000
NY_K,350000,510000
NY_L,350000,530000
NY_M,350000,550000
NY_N,350000,570000
NY_P,350000,590000
NY_Q,370000,510000
NY_R,370000,530000
NY_S,370000,550000
NY_T,370000,570000
NY_U,370000,590000
NY_V,390000,510000
NY_W,390000,530000
NY_X,390000,550000
NY_Y,390000,570000
NY_Z,390000,590000
NZ_A,410000,510000
NZ_B,410000,530000
NZ_C,410000,550000
NZ_D,410000,570000
NZ_E,410000,590000
NZ_F,430000,510000
NZ_G,430000,530000
NZ_H,430000,550000
NZ_I,430000,570000
NZ_J,430000,590000
NZ_K,450000,510000
NZ_L,450000,530000
NZ_M,450000,550000
NZ_N,450000,570000
NZ_P,450000,590000
NZ_Q,470000,510000
NZ_R,470000,530000
NZ_V,490000,510000
NZ_W,490000,530000
SC_A,210000,410000
SC_B,210000,430000
SC_C,210000,450000
SC_D,210000,470000
SC_E,210000,490000
SC_F,230000,410000
SC_G,230000,430000
SC_H,230000,450000
SC_I,230000,470000
SC_J,230000,490000
SC_K,250000,410000
SC_L,250000,430000
SC_M,250000,450000
SC_N,250000,470000
SC_P,250000,490000
SC_Q,270000,410000
SC_R,270000,430000
SC_S,270000,450000
SC_T,270000,470000
SC_U,270000,490000
SC_V,290000,410000
SC_W,290000,430000
SC_X,290000,450000
SC_Y,290000,470000
SC_Z,290000,490000
SD_A,310000,410000
SD_B,310000,430000
SD_C,310000,450000
SD_D,310000,470000
SD_E,310000,490000
SD_F,330000,410000
SD_G,330000,430000
SD_H,330000,450000
SD_I,330000,470000
SD_J,330000,490000
SD_K,350000,410000
SD_L,350000,430000
SD_M,350000,450000
SD_N,350000,470000
SD_P,350000,490000
SD_Q,370000,410000
SD_R,370000,430000
SD_S,370000,450000
SD_T,370000,470000
SD_U,370000,490000
SD_V,390000,410000
SD_W,390000,430000
SD_X,390000,450000
SD_Y,390000,470000
SD_Z,390000,490000
SE_A,410000,410000
SE_B,410000,430000
SE_C,410000,450000
SE_D,410000,470000
SE_E,410000,490000
SE_F,430000,410000
SE_G,430000,430000
SE_H,430000,450000
SE_I,430000,470000
SE_J,430000,490000
SE_K,450000,410000
SE_L,450000,430000
SE_M,450000,450000
SE_N,450000,470000
SE_P,450000,490000
SE_Q,470000,410000
SE_R,470000,430000
SE_S,470000,450000
SE_T,470000,470000
SE_U,470000,490000
SE_V,490000,410000
SE_W,490000,430000
SE_X,490000,450000
SE_Y,490000,470000
SE_Z,490000,490000
SH_A,210000,310000
SH_B,210000,330000
SH_C,210000,350000
SH_D,210000,370000
SH_E,210000,390000
SH_F,230000,310000
SH_G,230000,330000
SH_H,230000,350000
SH_I,230000,370000
SH_J,230000,390000
SH_K,250000,310000
SH_L,250000,330000
SH_M,250000,350000
SH_N,250000,370000
SH_P,250000,390000
SH_Q,270000,310000
SH_R,270000,330000
SH_S,270000,350000
SH_T,270000,370000
SH_U,270000,390000
SH_V,290000,310000
SH_W,290000,330000
SH_X,290000,350000
SH_Y,290000,370000
SH_Z,290000,390000
SJ_A,310000,310000
SJ_B,310000,330000
SJ_C,310000,350000
SJ_D,310000,370000
SJ_E,310000,390000
SJ_F,330000,310000
SJ_G,330000,330000
SJ_H,330000,350000
SJ_I,330000,370000
SJ_J,330000,390000
SJ_K,350000,310000
SJ_L,350000,330000
SJ_M,350000,350000
SJ_N,350000,370000
SJ_P,350000,390000
SJ_Q,370000,310000
SJ_R,370000,330000
SJ_S,370000,350000
SJ_T,370000,370000
SJ_U,370000,390000
SJ_V,390000,310000
SJ_W,390000,330000
SJ_X,390000,350000
SJ_Y,390000,370000
SJ_Z,390000,390000
SK_A,410000,310000
SK_B,410000,330000
SK_C,410000,350000
SK_D,410000,370000
SK_E,410000,390000
SK_F,430000,310000
SK_G,430000,330000
SK_H,430000,350000
SK_I,430000,370000
SK_J,430000,390000
SK_K,450000,310000
SK_L,450000,330000
SK_M,450000,350000
SK_N,450000,370000
SK_P,450000,390000
SK_Q,470000,310000
SK_R,470000,330000
SK_S,470000,350000
SK_T,470000,370000
SK_U,470000,390000
SK_V,490000,310000
SK_W,490000,330000
SK_X,490000,350000
SK_Y,490000,370000
SK_Z,490000,390000
SM_A,110000,210000
SM_B,110000,230000
SM_F,130000,210000
SM_G,130000,230000
SM_K,150000,210000
SM_L,150000,230000
SM_M,150000,250000
SM_Q,170000,210000
SM_R,170000,230000
SM_S,170000,250000
SM_T,170000,270000
SM_U,170000,290000
SM_V,190000,210000
SM_W,190000,230000
SM_X,190000,250000
SM_Y,190000,270000
SM_Z,190000,290000
SN_A,210000,210000
SN_B,210000,230000
SN_C,210000,250000
SN_D,210000,270000
SN_E,210000,290000
SN_F,230000,210000
SN_G,230000,230000
SN_H,230000,250000
SN_I,230000,270000
SN_J,230000,290000
SN_K,250000,210000
SN_L,250000,230000
SN_M,250000,250000
SN_N,250000,270000
SN_P,250000,290000
SN_Q,270000,210000
SN_R,270000,230000
SN_S,270000,250000
SN_T,270000,270000
SN_U,270000,290000
SN_V,290000,210000
SN_W,290000,230000
SN_X,290000,250000
SN_Y,290000,270000
SN_Z,290000,290000
SO_A,310000,210000
SO_B,310000,230000
SO_C,310000,250000
SO_D,310000,270000
SO_E,310000,290000
SO_F,330000,210000
SO_G,330000,230000
SO_H,330000,250000
SO_I,330000,270000
SO_J,330000,290000
SO_K,350000,210000
SO_L,350000,230000
SO_M,350000,250000
SO_N,350000,270000
SO_P,350000,290000
SO_Q,370000,210000
SO_R,370000,230000
SO_S,370000,250000
SO_T,370000,270000
SO_U,370000,290000
SO_V,390000,210000
SO_W,390000,230000
SO_X,390000,250000
SO_Y,390000,270000
SO_Z,390000,290000
SP_A,410000,210000
SP_B,410000,230000
SP_C,410000,250000
SP_D,410000,270000
SP_E,410000,290000
SP_F,430000,210000
SP_G,430000,230000
SP_H,430000,250000
SP_I,430000,270000
SP_J,430000,290000
SP_K,450000,210000
SP_L,450000,230000
SP_M,450000,250000
SP_N,450000,270000
SP_P,450000,290000
SP_Q,470000,210000
SP_R,470000,230000
SP_S,470000,250000
SP_T,470000,270000
SP_U,470000,290000
SP_V,490000,210000
SP_W,490000,230000
SP_X,490000,250000
SP_Y,490000,270000
SP_Z,490000,290000
SR_Q,170000,110000
SR_R,170000,130000
SR_S,170000,150000
SR_T,170000,170000
SR_U,170000,190000
SR_V,190000,110000
SR_W,190000,130000
SR_X,190000,150000
SR_Y,190000,170000
SR_Z,190000,190000
SS_A,210000,110000
SS_B,210000,130000
SS_C,210000,150000
SS_D,210000,170000
SS_E,210000,190000
SS_F,230000,110000
SS_G,230000,130000
SS_H,230000,150000
SS_I,230000,170000
SS_J,230000,190000
SS_K,250000,110000
SS_L,250000,130000
SS_M,250000,150000
SS_N,250000,170000
SS_P,250000,190000
SS_Q,270000,110000
SS_R,270000,130000
SS_S,270000,150000
SS_T,270000,170000
SS_U,270000,190000
SS_V,290000,110000
SS_W,290000,130000
SS_X,290000,150000
SS_Y,290000,170000
SS_Z,290000,190000
ST_A,310000,110000
ST_B,310000,130000
ST_C,310000,150000
ST_D,310000,170000
ST_E,310000,190000
ST_F,330000,110000
ST_G,330000,130000
ST_H,330000,150000
ST_I,330000,170000
ST_J,330000,190000
ST_K,350000,110000
ST_L,350000,130000
ST_M,350000,150000
ST_N,350000,170000
ST_P,350000,190000
ST_Q,370000,110000
ST_R,370000,130000
ST_S,370000,150000
ST_T,370000,170000
ST_U,370000,190000
ST_V,390000,110000
ST_W,390000,130000
ST_X,390000,150000
ST_Y,390000,170000
ST_Z,390000,190000
SU_A,410000,110000
SU_B,410000,130000
SU_C,410000,150000
SU_D,410000,170000
SU_E,410000,190000
SU_F,430000,110000
SU_G,430000,130000
SU_H,430000,150000
SU_I,430000,170000
SU_J,430000,190000
SU_K,450000,110000
SU_L,450000,130000
SU_M,450000,150000
SU_N,450000,170000
SU_P,450000,190000
SU_Q,470000,110000
SU_R,470000,130000
SU_S,470000,150000
SU_T,470000,170000
SU_U,470000,190000
SU_V,490000,110000
SU_W,490000,130000
SU_X,490000,150000
SU_Y,490000,170000
SU_Z,490000,190000
SV_Q,70000,10000
SV_R,70000,30000
SV_V,90000,10000
SV_W,90000,30000
SW_A,110000,10000
SW_B,110000,30000
SW_F,130000,10000
SW_G,130000,30000
SW_H,130000,50000
SW_K,150000,10000
SW_L,150000,30000
SW_M,150000,50000
SW_N,150000,70000
SW_P,150000,90000
SW_Q,170000,10000
SW_R,170000,30000
SW_S,170000,50000
SW_T,170000,70000
SW_U,170000,90000
SW_V,190000,10000
SW_W,190000,30000
SW_X,190000,50000
SW_Y,190000,70000
SW_Z,190000,90000
SX_A,210000,10000
SX_B,210000,30000
SX_C,210000,50000
SX_D,210000,70000
SX_E,210000,90000
SX_F,230000,10000
SX_G,230000,30000
SX_H,230000,50000
SX_I,230000,70000
SX_J,230000,90000
SX_K,250000,10000
SX_L,250000,30000
SX_M,250000,50000
SX_N,250000,70000
SX_P,250000,90000
SX_Q,270000,10000
SX_R,270000,30000
SX_S,270000,50000
SX_T,270000,70000
SX_U,270000,90000
SX_W,290000,30000
SX_X,290000,50000
SX_Y,290000,70000
SX_Z,290000,90000
SY_C,310000,50000
SY_D,310000,70000
SY_E,310000,90000
SY_I,330000,70000
SY_J,330000,90000
SY_N,350000,70000
SY_P,350000,90000
SY_T,370000,70000
SY_U,370000,90000
SY_Y,390000,70000
SY_Z,390000,90000
SZ_D,410000,70000
SZ_E,410000,90000
SZ_I,430000,70000
SZ_J,430000,90000
SZ_N,450000,70000
SZ_P,450000,90000
SZ_T,470000,70000
SZ_U,470000,90000
SZ_Y,490000,70000
SZ_Z,490000,90000
TA_A,510000,410000
TA_B,510000,430000
TA_C,510000,450000
TA_D,510000,470000
TA_E,510000,490000
TA_F,530000,410000
TA_G,530000,430000
TA_H,530000,450000
TA_I,530000,470000
TA_J,530000,490000
TA_K,550000,410000
TA_L,550000,430000
TA_M,550000,450000
TA_N,550000,470000
TA_P,550000,490000
TF_A,510000,310000
TF_B,510000,330000
TF_C,510000,350000
TF_D,510000,370000
TF_E,510000,390000
TF_F,530000,310000
TF_G,530000,330000
TF_H,530000,350000
TF_I,530000,370000
TF_J,530000,390000
TF_K,550000,310000
TF_L,550000,330000
TF_M,550000,350000
TF_N,550000,370000
TF_P,550000,390000
TF_Q,570000,310000
TF_R,570000,330000
TF_S,570000,350000
TF_T,570000,370000
TF_V,590000,310000
TF_W,590000,330000
TF_X,590000,350000
TG_A,610000,310000
TG_B,610000,330000
TG_C,610000,350000
TG_F,630000,310000
TG_G,630000,330000
TG_H,630000,350000
TG_K,650000,310000
TG_L,650000,330000
TG_M,650000,350000
TL_A,510000,210000
TL_B,510000,230000
TL_C,510000,250000
TL_D,510000,270000
TL_E,510000,290000
TL_F,530000,210000
TL_G,530000,230000
TL_H,530000,250000
TL_I,530000,270000
TL_J,530000,290000
TL_K,550000,210000
TL_L,550000,230000
TL_M,550000,250000
TL_N,550000,270000
TL_P,550000,290000
TL_Q,570000,210000
TL_R,570000,230000
TL_S,570000,250000
TL_T,570000,270000
TL_U,570000,290000
TL_V,590000,210000
TL_W,590000,230000
TL_X,590000,250000
TL_Y,590000,270000
TL_Z,590000,290000
TM_A,610000,210000
TM_B,610000,230000
TM_C,610000,250000
TM_D,610000,270000
TM_E,610000,290000
TM_F,630000,210000
TM_G,630000,230000
TM_H,630000,250000
TM_I,630000,270000
TM_J,630000,290000
TM_K,650000,210000
TM_L,650000,230000
TM_M,650000,250000
TM_N,650000,270000
TM_P,650000,290000
TQ_A,510000,110000
TQ_B,510000,130000
TQ_C,510000,150000
TQ_D,510000,170000
TQ_E,510000,190000
TQ_F,530000,110000
TQ_G,530000,130000
TQ_H,530000,150000
TQ_I,530000,170000
TQ_J,530000,190000
TQ_K,550000,110000
TQ_L,550000,130000
TQ_M,550000,150000
TQ_N,550000,170000
TQ_P,550000,190000
TQ_Q,570000,110000
TQ_R,570000,130000
TQ_S,570000,150000
TQ_T,570000,170000
TQ_U,570000,190000
TQ_V,590000,110000
TQ_W,590000,130000
TQ_X,590000,150000
TQ_Y,590000,170000
TQ_Z,590000,190000
TR_A,610000,110000
TR_B,610000,130000
TR_C,610000,150000
TR_D,610000,170000
TR_E,610000,190000
TR_F,630000,110000
TR_G,630000,130000
TR_H,630000,150000
TR_I,630000,170000
TR_J,630000,190000
TR_K,650000,110000
TR_L,650000,130000
TR_M,650000,150000
TR_N,650000,170000
TR_P,650000,190000
TV_E,510000,90000
TV_J,530000,90000
TV_P,550000,90000
TV_U,570000,90000
TV_Z,590000,90000
IB_K,-34029,581113
IB_Q,-14067,579395
IB_R,-12347,599355
IB_S,-10624,619314
IB_V,5891,577677
IB_W,7610,597634
IB_X,9333,617589
IC_A,25846,575961
IC_B,27564,595913
IC_C,29286,615865
IC_F,45797,574245
IC_G,47514,594193
IC_H,49236,614141
IC_I,50961,634089
IC_K,65744,572529
IC_L,67461,592474
IC_M,69182,612418
IC_N,70906,632362
IC_Q,85687,570814
IC_R,87404,590756
IC_S,89124,610696
IC_V,105627,569100
IC_W,107343,589038
IC_X,109062,608974
ID_A,125563,567386
ID_B,127278,587320
ID_C,128997,607253
ID_F,145495,565673
ID_G,147210,585603
ID_H,148928,605533
ID_K,165423,563961
IF_K,-142458,489792
IF_L,-140753,509778
IF_M,-139044,529763
IF_Q,-122474,488089
IF_R,-120769,508071
IF_S,-119061,528053
IF_V,-102493,486387
IF_W,-100789,506365
IF_X,-99082,526343
IG_A,-82516,484686
IG_B,-80813,504660
IG_C,-79107,524634
IG_F,-62543,482985
IG_G,-60841,502956
