"MASTER_TAXON_ID","SCIENTIFIC_NAME","ENGLISH_NAME","TAXON_RANK_ID","TAXON_RANK_NAME","SORT_ORDER","ALT_INT_NAME","CBC_CODE","FIVE_LETTER","EURING_NO"
51217,"Syrmaticus humiae burmanicus","",110,"Subspecies",11860,"","","",
51218,"Syrmaticus mikado","Mikado Pheasant",100,"Species",11870,"","","",
51219,"Syrmaticus soemmerringii","Copper Pheasant",100,"Species",11880,"","","",
51220,"Syrmaticus soemmerringii scintillans","",110,"Subspecies",11890,"","","",
51221,"Syrmaticus soemmerringii subrufus","",110,"Subspecies",11900,"","","",
51222,"Syrmaticus soemmerringii intermedius","",110,"Subspecies",11910,"","","",
51223,"Syrmaticus soemmerringii soemmerringii","",110,"Subspecies",11920,"","","",
51224,"Syrmaticus soemmerringii ijimae","",110,"Subspecies",11930,"","","",
1293,"Syrmaticus reevesii","Reeves's Pheasant",100,"Species",11940,"","RV","",3930
51225,"Phasianus","",80,"Genus",11950,"","","",
133,"Phasianus colchicus","Pheasant",100,"Species",11960,"Common Pheasant","PH","PHEAS",3940
51226,"Phasianus colchicus septentrionalis","",110,"Subspecies",11970,"","","",
51227,"Phasianus colchicus colchicus","",110,"Subspecies",11980,"","","",
51228,"Phasianus colchicus talischensis","",110,"Subspecies",11990,"","","",
51229,"Phasianus colchicus persicus","",110,"Subspecies",12000,"","","",
51230,"Phasianus colchicus principalis","",110,"Subspecies",12010,"","","",
51231,"Phasianus colchicus chrysomelas","",110,"Subspecies",12020,"","","",
51232,"Phasianus colchicus zarudnyi","",110,"Subspecies",12030,"","","",
51233,"Phasianus colchicus bianchii","",110,"Subspecies",12040,"","","",
51234,"Phasianus colchicus zerafschanicus","",110,"Subspecies",12050,"","","",
51235,"Phasianus colchicus turcestanicus","",110,"Subspecies",12060,"","","",
51236,"Phasianus colchicus mongolicus","",110,"Subspecies",12070,"","","",
51237,"Phasianus colchicus shawii","",110,"Subspecies",12080,"","","",
51238,"Phasianus colchicus tarimensis","",110,"Subspecies",12090,"","","",
51239,"Phasianus colchicus vlangalii","",110,"Subspecies",12100,"","","",
51240,"Phasianus colchicus strauchi","",110,"Subspecies",12110,"","","",
51241,"Phasianus colchicus sohokhotensis","",110,"Subspecies",12120,"","","",
51242,"Phasianus colchicus satscheuensis","",110,"Subspecies",12130,"","","",
51243,"Phasianus colchicus hagenbecki","",110,"Subspecies",12140,"","","",
