MASTER_TAXON_ID,ALTERNATIVE_SCI_NAME,CURRENT_SCI_NAME,SORT_ORDER_IOC
52934,Buteo leucorrhous,Parabuteo leucorrhous,31840
52936,Buteo albicaudatus,Geranoaetus albicaudatus,31860
52940,Buteo polyosoma,Geranoaetus polyosoma,31900
52949,Leucopternis polionotus,Pseudastur polionotus,31990
52950,Leucopternis albicollis,Pseudastur albicollis,32000
52955,Leucopternis occidentalis,Pseudastur occidentalis,32050
53250,Eupodotis coerulescens,Eupodotis caerulescens,33230
53254,Eupodotis rueppellii,Eupodotis rueppelii,33270
53259,Eupodotis savilei,Lophotis savilei,33320
53260,Eupodotis gindiana,Lophotis gindiana,33330
53261,Eupodotis ruficrista,Lophotis ruficrista,33340
53263,Eupodotis afra,Afrotis afra,33360
53264,Eupodotis afraoides,Afrotis afraoides,33370
53269,Eupodotis melanogaster,Lissotis melanogaster,33420
53272,Eupodotis hartlaubii,Lissotis hartlaubii,33450
53360,Rallina rubra,Rallicula rubra,34330
53364,Rallina leucospila,Rallicula leucospila,34360
53365,Rallina forbesi,Rallicula forbesi,34370
53370,Rallina mayri,Rallicula mayri,34400
53390,Anurolimnas viridis,Laterallus viridis,34600
53393,Anurolimnas fasciatus,Laterallus fasciatus,34630
53410,Laterallus spilonotus,Laterallus spilonota,34800
53464,Cabalus modestus,Gallirallus modestus,35320
53538,Aphanapteryx leguati,Erythromachus leguati,36070
53540,Crecopsis egregia,Crex egregia,36090
53548,Atlantisia podarces,Aphanocrex podarces,36180
53600,Amaurornis bicolor,Porzana bicolor,36680
139,Zapornia parva,Porzana parva,36690
140,Zapornia pusilla,Porzana pusilla,36700
53636,Porzana marginalis,Aenigmatolimnas marginalis,37040
144,Porphyrio martinicus,Porphyrio martinica,37610
53712,Gallinula angulata,Paragallinula angulata,37870
53713,Gallinula melanops,Porphyriops melanops,37890
53718,Gallinula ventralis,Tribonyx ventralis,37940
53719,Gallinula mortierii,Tribonyx mortierii,37950
53722,Fulica newtoni,Fulica newtonii,37980
53760,Grus leucogeranus,Leucogeranus leucogeranus,38380
148,Grus canadensis,Antigone canadensis,38400
53767,Grus vipio,Antigone vipio,38460
1710,Grus antigone,Antigone antigone,38470
53771,Grus rubicunda,Antigone rubicunda,38510
53774,Bugeranus carunculatus,Grus carunculata,38530
53773,Anthropoides paradiseus,Grus paradisea,38540
53772,Anthropoides virgo,Grus virgo,38550
53792,Turnix sylvatica,Turnix sylvaticus,38710
53818,Turnix hottentottus,Turnix nanus,38970
53818,Turnix nana,Turnix nanus,38970
53883,Esacus giganteus,Esacus magnirostris,39620
53886,Chionis alba,Chionis albus,39650
1147,Hoplopterus spinosus,Vanellus spinosus,40250
53946,Vanellus malarbaricus,Vanellus malabaricus,40300
53963,Hoplopterus indicus,Vanellus indicus,40460
53982,Charadrius australis,Peltohyas australis,40670
163,Anarhynchus alexandrinus,Charadrius alexandrinus,41170
1255,Anarhynchus mongolus,Charadrius mongolus,41370
164,Anarhynchus leschenaultii,Charadrius leschenaultii,41430
165,Anarhynchus asiaticus,Charadrius asiaticus,41480
166,Eudromias morinellus,Charadrius morinellus,41500
54052,Thinornis rubricollis,Thinornis cucullatus,41540
54063,Vanellus cayanus,Hoploxypterus cayanus,41650
54072,Rostratula semicollaris,Nycticryphes semicollaris,41740
54221,Aphriza virgata,Calidris virgata,42690
190,Philomachus pugnax,Calidris pugnax,42700
187,Limicola falcinellus,Calidris falcinellus,42710
188,Micropalama himantopus,Calidris himantopus,42750
54248,Eurynorhynchus pygmeus,Calidris pygmea,42790
189,Tryngites subruficollis,Calidris subruficollis,43060
218,Steganopus tricolor,Phalaropus tricolor,43740
54205,Heteroscelus incanus,Tringa incana,43860
1040,Heteroscelus brevipes,Tringa brevipes,43870
54206,Catoptrophorus semipalmatus,Tringa semipalmata,43890
