"MASTER_TAXON_ID","ALTERNATIVE_SCI_NAME","ALTERNATIVE_RANK_ID","ALTERNATIVE_RANK_NAME","CURRENT_SCI_NAME","CURRENT_RANK_ID","CURRENT_RANK_NAME","SORT_ORDER_IOC","NUMBER_OF_LISTS"
1077,"Carduelis rostrata",100,"Species","Acanthis flammea rostrata",110,"Subspecies",305740,1
1079,"Acanthis flammea cabaret",110,"Subspecies","Acanthis cabaret",100,"Species",305750,1
1079,"Carduelis cabaret",100,"Species","Acanthis cabaret",100,"Species",305750,2
1079,"Carduelis flammea cabaret",110,"Subspecies","Acanthis cabaret",100,"Species",305750,1
475,"Acanthis flammea",100,"Species","Acanthis flammea/cabaret",90,"Subgenus (non-standard)",305760,1
475,"Carduelis flammea/cabaret",90,"Subgenus (non-standard)","Acanthis flammea/cabaret",90,"Subgenus (non-standard)",305760,1
476,"Carduelis flammes hornemanni",110,"Subspecies","Acanthis hornemanni",100,"Species",305770,1
476,"Carduelis hornemanni",100,"Species","Acanthis hornemanni",100,"Species",305770,3
80251,"Loxia sp",100,"Species","Loxia",80,"Genus",305800,1
80268,"Loxia curvirostra sinesciuris",110,"Subspecies","Loxia sinesciuris",100,"Species",306030,1
477,"Loxia bifasciata",100,"Species","Loxia leucoptera",100,"Species",306040,1
80276,"Serinus estherae",100,"Species","Chrysocorythus estherae",100,"Species",306100,1
80292,"Carduelis carduelis major",110,"Subspecies","Carduelis carduelis frigoris",110,"Subspecies",306270,1
80313,"Serinus thibetanus",100,"Species","Spinus thibetanus",100,"Species",306520,1
80313,"Spinus thibetana",100,"Species","Spinus thibetanus",100,"Species",306520,1
80314,"Carduelis lawrencei",100,"Species","Spinus lawrencei",100,"Species",306530,1
80315,"Carduelis tristis",100,"Species","Spinus tristis",100,"Species",306540,1
80316,"Spinus tristis pallida",110,"Subspecies","Spinus tristis pallidus",110,"Subspecies",306550,1
80320,"Carduelis psaltria",100,"Species","Spinus psaltria",100,"Species",306590,1
80321,"Spinus psaltria hesperophila",110,"Subspecies","Spinus psaltria hesperophilus",110,"Subspecies",306600,1
80325,"Spinus psaltria colombiana",110,"Subspecies","Spinus psaltria colombianus",110,"Subspecies",306640,1
