tenkm,area
IG77,51.41
IG78,100.06
IG79,88.99
IG80,100.33
IG81,100.33
IG82,100.33
IG83,100.32
IG84,100.32
IG85,98.2
IG86,53.23
IG87,49.84
IG88,100.32
IG89,100.23
IG90,100.31
IG91,100.31
IG92,100.31
IG93,100.3
IG94,100.3
IG95,100.3
IG96,100.3
IG97,92.49
IG98,100.3
IG99,100.29
IH00,100.29
IH01,100.29
IH02,100.29
IH03,100.29
IH04,100.28
IH05,100.28
IH06,100.28
IH07,100.28
IH08,100.28
IH09,100.28
IH10,100.27
IH11,100.27
IH12,100.27
IH13,100.27
IH14,100.26
IH15,100.26
IH16,100.26
IH17,100.26
IH18,100.26
IH19,100.26
IH20,100.25
IH21,100.25
IH22,100.25
IH23,100.25
IH24,100.25
IH25,100.24
IH26,100.24
IH27,100.24
IH28,100.24
IH29,100.24
IH30,100.23
IH31,100.23
IH32,100.23
IH33,100.23
IH34,100.23
IH35,100.22
IH36,100.22
IH37,100.22
IH38,100.22
IH39,100.22
IH40,100.21
IH41,100.21
IH42,100.21
IH43,100.21
IH44,100.21
IH45,100.21
IH46,100.2
IH47,100.2
IH48,100.2
IH49,100.2
IH50,100.19
IH51,100.19
IH52,100.19
IH53,100.19
IH54,100.19
IH55,100.19
IH56,100.19
IH57,100.18
IH58,100.18
IH59,100.18
IH60,100.17
IH61,100.17
IH62,100.17
IH63,100.17
IH64,100.17
IH65,100.17
IH66,100.17
IH67,100.16
IH68,100.16
IH69,100.16
IH70,100.16
IH71,100.15
IH72,100.15
IH73,100.15
IH74,100.15
IH75,100.15
IH76,100.15
IH77,100.15
IH78,100.14
IH79,100.14
IH80,100.14
IH81,100.13
IH82,100.13
IH83,100.13
IH84,100.13
IH85,100.13
IH86,100.13
IH87,100.13
IH88,100.13
IH89,100.12
IH90,100.12
IH91,100.12
IH92,100.11
IH93,100.11
IH94,100.11
IH95,100.11
IH96,100.11
IH97,100.11
IH98,100.11
IH99,100.11
IJ00,77.93
IJ01,99.98
IJ02,100.09
IJ03,100.09
IJ04,100.09
IJ05,100.09
IJ06,100.09
IJ07,100.09
IJ08,100.09
IJ09,100.09
IJ10,37.79
IJ11,79.53
IJ12,100.08
IJ13,100.07
IJ14,100.07
IJ15,100.07
IJ16,100.07
IJ17,100.07
IJ18,100.07
IJ19,100.07
IJ20,16.51
IJ21,74.14
IJ22,100.06
IJ23,100.06
IJ24,100.05
IJ25,100.05
IJ26,100.05
IJ27,100.05
IJ28,100.05
IJ29,100.05
IJ31,33.71
IJ32,86.65
IJ33,95.17
IJ34,100.04
IJ35,100.03
IJ36,100.03
IJ37,90.31
IJ38,81.77
IJ39,100.03
IJ43,45.09
IJ44,100.02
IJ45,100.02
IJ46,96.88
IJ47,98.06
IJ48,32.69
IJ49,76.17
IJ53,34.04
IJ54,94.17
IJ55,49.02
IJ56,31.64
IJ57,93.03
IJ58,25.86
IJ64,13.25
IJ65,49.85
IJ66,47.65
IJ67,12.18
IJ68,0.23
IL45,0.03
IL46,2.52
IL54,15.58
IL55,21.72
IL56,11.52
IL57,1.89
IL59,0.01
IL63,8.11
IL64,76.61
IL65,84.68
IL66,19.73
IL67,4.89
IL68,13.08
IL69,13.69
IL71,3.94
IL72,3.11
IL73,47.6
IL74,89.23
IL75,100.34
IL76,61.01
IL77,58.73
IL78,11.3
IL79,65.66
IL80,15.19
IL81,11.49
IL82,40.33
IL83,74.11
IL84,99.57
IL85,100.53
IL86,94.09
IL87,100.53
IL88,23.98
IL89,45.77
IL90,16.44
IL92,61.74
IL93,78.6
IL94,100.52
IL95,100.51
IL96,100.51
IL97,100.51
IL98,67.8
IL99,70.92
IM00,5.29
IM02,87.42
IM03,100.5
IM04,100.5
IM05,100.49
IM06,100.49
IM07,100.49
IM08,100.49
IM09,100.49
IM10,83.91
IM11,7.49
IM12,78.1
IM13,100.48
IM14,100.48
IM15,100.47
IM16,100.47
IM17,100.47
IM18,100.47
IM19,100.47
IM20,94.84
IM21,12.24
IM22,69.22
IM23,100.46
IM24,100.46
IM25,100.45
IM26,100.45
IM27,100.45
IM28,100.45
IM29,100.45
IM30,100.44
IM31,56.24
IM32,74.4
IM33,100.44
IM34,100.44
IM35,100.43
IM36,100.43
IM37,100.43
IM38,100.43
IM39,100.43
IM40,100.42
IM41,100.02
IM42,100.41
IM43,100.42
IM44,100.42
IM45,100.42
IM46,100.41
IM47,100.41
IM48,100.41
IM49,100.41
IM50,100.41
IM51,100.4
IM52,100.4
IM53,100.4
IM54,100.4
IM55,100.4
IM56,100.39
