tenkm,easting,northing
IB93,13029.90162,602192.0366
IB94,13891.12205,612169.2827
IB95,14753.2655,622146.3668
IB96,15616.3298,632123.2891
IB97,16480.31282,642100.0496
IC00,20429.14893,571401.432
IC01,21287.4258,581378.2349
IC02,22146.6323,591354.8774
IC03,23006.76629,601331.3595
IC04,23867.82563,611307.6815
IC05,24729.80817,621283.8435
IC06,25592.71178,631259.8459
IC07,26456.5343,641235.6887
IC10,30405.56629,570543.701
IC11,31263.68361,580519.5732
IC12,32122.73077,590495.2869
IC13,32982.70561,600470.8425
IC14,33843.606,610446.2401
IC15,34705.42979,620421.48
IC16,35568.17485,630396.5622
IC17,36431.83902,640371.4871
IC20,40381.05168,569686.1286
IC21,41239.01161,579661.0697
IC22,42097.90155,589635.8547
IC23,42957.71938,599610.4835
IC24,43818.46296,609584.9566
IC25,44680.13014,619559.274
IC26,45542.71879,629533.4359
IC27,46406.22677,639507.4427
IC30,50355.60493,568828.7126
IC31,51213.40957,578802.7226
IC32,52072.14445,588776.5784
IC33,52931.8074,598750.2804
IC34,53792.39631,608723.8286
IC35,54653.90903,618697.2234
IC36,55516.34342,628670.4649
IC37,56379.69734,638643.5532
IC40,60329.22581,567971.4509
IC41,61186.87732,577944.5295
IC42,62045.45926,587917.4561
IC43,62904.96948,597890.231
IC44,63765.40585,607862.8542
IC45,64626.76625,617835.3261
IC46,65489.04852,627807.6469
IC47,66352.25052,637779.8167
IC50,70301.91415,567114.3414
IC51,71159.41465,577086.4884
IC52,72017.84578,587058.4856
IC53,72877.2054,597030.3331
IC54,73737.49138,607002.0312
IC55,74598.70158,616973.58
IC56,75460.83388,626944.9799
IC57,76323.88612,636916.2309
IC58,77187.85616,646887.3334
IC59,78052.74187,656858.2874
IC60,80273.66973,566257.382
IC61,81131.02135,576228.5972
IC62,81989.3038,586199.6647
IC63,82848.51496,596170.5846
IC64,83708.65268,606141.3573
IC65,84569.71483,616111.9829
IC66,85431.69929,626082.4617
IC67,86294.6039,636052.7937
IC68,87158.42653,646022.9793
IC70,90244.49235,565400.5704
IC71,91101.69722,575370.8536
IC72,91959.83313,585340.9913
IC73,92818.89795,595310.9835
IC74,93678.88954,605280.8306
IC75,94539.80578,615250.5327
IC76,95401.64454,625220.0901
IC77,96264.40366,635189.503
IC78,97128.08103,645158.7715
IC80,100214.3818,564543.9047
IC81,101071.4421,574513.2557
IC82,101929.4335,584482.4632
IC83,102788.3542,594451.5275
IC84,103648.2018,604420.4488
IC85,104508.9742,614389.2272
IC86,105370.6694,624357.8631
IC87,106233.2852,634326.3565
IC90,110183.3379,563687.3826
IC91,111040.2556,573655.8012
IC92,111898.1048,583624.0784
IC93,112756.8834,593592.2146
IC94,113616.5891,603560.2098
IC95,114477.2199,613528.0643
IC96,115338.7737,623495.7784
IC97,116201.2483,633463.3522
ID00,120151.3604,562831.0021
ID01,121008.1378,572798.488
ID02,121865.8468,582765.8348
ID03,122724.4854,592733.0425
ID04,123584.0514,602700.1115
ID05,124444.5427,612667.0419
ID06,125305.9572,622633.834
ID10,130118.4491,561974.7609
ID11,130975.0882,571941.3141
ID12,131832.6592,581907.7301
ID13,132691.16,591874.0093
ID14,133550.5884,601840.1518
ID15,134410.9423,611806.1579
ID16,135272.2196,621772.0278
ID20,140084.6038,561118.6571
ID21,140941.1068,571084.2772
ID22,141798.5419,581049.7623
ID23,142656.907,591015.1127
