"MASTER_TAXON_ID","SCIENTIFIC_NAME","ENGLISH_NAME","TAXON_RANK_ID","TAXON_RANK_NAME","SORT_ORDER","ALT_INT_NAME","CBC_CODE"
82643,"Diglossa duidae georgebarrowcloughi","",110,"Subspecies",329580,"",""
82644,"Diglossa major","Greater Flowerpiercer",100,"Species",329590,"",""
82645,"Diglossa major gilliardi","",110,"Subspecies",329600,"",""
82646,"Diglossa major disjuncta","",110,"Subspecies",329610,"",""
82647,"Diglossa major chimantae","",110,"Subspecies",329620,"",""
82648,"Diglossa major major","",110,"Subspecies",329630,"",""
82649,"Diglossa indigotica","Indigo Flowerpiercer",100,"Species",329640,"",""
82650,"Diglossa glauca","Golden-eyed Flowerpiercer",100,"Species",329650,"",""
82651,"Diglossa glauca glauca","",110,"Subspecies",329660,"",""
82652,"Diglossa glauca tyrianthina","",110,"Subspecies",329670,"",""
82653,"Diglossa caerulescens","Bluish Flowerpiercer",100,"Species",329680,"",""
82654,"Diglossa caerulescens caerulescens","",110,"Subspecies",329690,"",""
82655,"Diglossa caerulescens ginesi","",110,"Subspecies",329700,"",""
82656,"Diglossa caerulescens media","",110,"Subspecies",329710,"",""
82657,"Diglossa caerulescens mentalis","",110,"Subspecies",329720,"",""
82658,"Diglossa caerulescens pallida","",110,"Subspecies",329730,"",""
82659,"Diglossa caerulescens saturata","",110,"Subspecies",329740,"",""
82660,"Diglossa cyanea","Masked Flowerpiercer",100,"Species",329750,"",""
82661,"Diglossa cyanea cyanea","",110,"Subspecies",329760,"",""
82662,"Diglossa cyanea dispar","",110,"Subspecies",329770,"",""
82663,"Diglossa cyanea melanopis","",110,"Subspecies",329780,"",""
82664,"Diglossa cyanea obscura","",110,"Subspecies",329790,"",""
82665,"Diglossa cyanea tovarensis","",110,"Subspecies",329800,"",""
82666,"Urothraupis","",80,"Genus",329810,"",""
82667,"Urothraupis stolzmanni","Black-backed Bush Tanager",100,"Species",329820,"",""
82668,"Oreothraupis","",80,"Genus",329830,"",""
82669,"Oreothraupis arremonops","Tanager Finch",100,"Species",329840,"",""
82670,"Charitospiza","",80,"Genus",329850,"",""
82671,"Charitospiza eucosma","Coal-crested Finch",100,"Species",329860,"",""
82674,"Coryphaspiza","",80,"Genus",329870,"",""
82675,"Coryphaspiza melanotis","Black-masked Finch",100,"Species",329880,"",""
82676,"Coryphaspiza melanotis marajoara","",110,"Subspecies",329890,"",""
82677,"Coryphaspiza melanotis melanotis","",110,"Subspecies",329900,"",""
82678,"Coryphospingus","",80,"Genus",329910,"",""
82679,"Coryphospingus pileatus","Grey Pileated Finch",100,"Species",329920,"",""
82680,"Coryphospingus pileatus rostratus","",110,"Subspecies",329930,"",""
82681,"Coryphospingus pileatus brevicaudus","",110,"Subspecies",329940,"",""
82682,"Coryphospingus pileatus pileatus","",110,"Subspecies",329950,"",""
82683,"Coryphospingus cucullatus","Red Pileated Finch",100,"Species",329960,"",""
82684,"Coryphospingus cucullatus cucullatus","",110,"Subspecies",329970,"",""
82685,"Coryphospingus cucullatus rubescens","",110,"Subspecies",329980,"",""
82686,"Coryphospingus cucullatus fargoi","",110,"Subspecies",329990,"",""
82687,"Rhodospingus","",80,"Genus",330000,"",""
82688,"Rhodospingus cruentus","Crimson-breasted Finch",100,"Species",330010,"",""
