"MAPPING_ID","CURRENT_SPECIES_CODE","NEW_SPECIES_CODE","BRITISH_ISLES","MATCH_TYPE"
392,83919,78062,"Y",""
393,83971,80743,"Y",""
394,84006,422,"Y",""
395,84144,911,"Y",""
396,84149,77413,"Y",""
397,83592,57483,"Y",""
398,83595,57618,"Y",""
399,83622,60105,"Y",""
400,83688,62863,"Y",""
401,83728,68133,"Y",""
402,83737,68709,"Y",""
403,83774,70674,"Y",""
404,83802,73381,"Y",""
405,83831,74030,"Y",""
406,83889,76199,"Y",""
407,83909,77493,"Y",""
408,83924,78506,"Y",""
409,84015,77382,"Y",""
410,83837,393,"Y",""
411,83866,73864,"Y",""
412,36,52121,"Y",""
413,83493,110,"Y",""
414,83538,55117,"Y",""
415,83636,61040,"Y",""
416,83648,61884,"Y",""
417,83672,63613,"Y",""
418,83743,69062,"Y",""
419,83751,69405,"Y",""
420,84119,64,"Y",""
421,1001,51593,"Y",""
422,83568,57041,"Y",""
423,83451,51189,"Y",""
424,83915,77715,"Y",""
425,83588,57353,"Y",""
426,83632,60802,"Y",""
427,83663,64631,"Y",""
428,83726,68011,"Y",""
429,83857,73721,"Y",""
430,83894,76359,"Y",""
431,83931,78607,"Y",""
432,83940,79249,"Y",""
433,83957,80000,"Y",""
434,83958,79967,"Y",""
435,83959,79961,"Y",""
436,83825,73482,"Y",""
437,83872,75070,"Y",""
438,83880,438,"Y",""
439,83903,1208,"Y",""
440,443,68987,"Y",""
441,66229,66227,"Y",""
442,83456,69,"Y",""
443,83459,96,"Y",""
444,83501,53502,"Y",""
445,83528,54514,"Y",""
446,83565,56544,"Y",""
447,83637,61075,"Y",""
448,83677,64259,"Y",""
449,84021,86,"Y",""
450,70011,70012,"Y",""
451,70988,70987,"Y",""
452,77241,83428,"Y",""
453,83446,50528,"Y",""
454,83930,78601,"Y",""
455,83986,82786,"Y",""
456,84011,435,"Y",""
457,83603,58122,"Y",""
458,83665,65086,"Y",""
459,83772,70661,"Y",""
460,83826,72838,"Y",""
461,83871,75088,"Y",""
462,83892,76241,"Y",""
463,83923,78317,"Y",""
464,83982,81289,"Y",""
465,84019,79900,"Y",""
466,19,51728,"Y",""
467,1754,83850,"Y",""
468,53673,1351,"Y",""
469,83471,32,"Y",""
470,83524,1282,"Y",""
471,83544,55510,"Y",""
472,83567,57034,"Y",""
473,83576,56788,"Y",""
474,83631,60786,"Y",""
475,83659,66157,"Y",""
476,83676,63950,"Y",""
477,83721,67501,"Y",""
478,83765,1246,"Y",""
479,83549,55899,"Y",""
480,83562,56519,"Y",""
481,52577,52578,"Y",""
482,54374,1439,"Y",""
483,74748,74750,"Y",""
484,83426,76994,"Y",""
485,83457,51446,"Y",""
486,83464,51707,"Y",""
487,83949,80200,"Y",""
488,83983,510,"Y",""
489,84003,125,"Y",""
490,84148,77413,"Y",""
491,83670,65642,"Y",""
492,83673,63713,"Y",""
493,83807,71378,"Y",""
494,83865,68910,"Y",""
495,83974,80888,"Y",""
496,13,51645,"Y",""
497,79737,332,"Y",""
498,83593,57554,"N",""
499,83650,60581,"N",""
500,83660,64423,"N",""
501,83679,62227,"N",""
502,83682,62385,"N",""
503,83695,66411,"N",""
504,83899,76786,"N",""
505,83987,82815,"N",""
506,84179,1119,"Y",""
507,84183,1102,"Y",""
508,84201,1421,"Y",""
509,1007,1532,"Y",""
510,83994,81857,"Y",""
511,83669,65465,"Y",""
512,1742,83587,"Y",""
513,1139,61,"Y",""
514,83756,69681,"Y",""
516,84272,1134,"Y",""
517,1694,1439,"Y",""
518,1697,51927,"Y",""
519,1715,1439,"Y",""
520,1719,1449,"Y",""
521,1747,83898,"Y",""
522,98034,1296,"Y",""
523,98035,1706,"Y",""
524,99996,1730,"Y",""
525,54418,1145,"Y",""
526,84026,877,"Y",""
527,84216,1110,"Y",""
528,83851,400,"Y","X"
529,83843,1746,"Y","X"
530,57115,84400,"N","X"
531,84271,1098,"Y",""
532,57115,279,"Y","I"
533,280,57209,"N","I"
534,337,911,"N","I"
535,403,83850,"N","I"
536,52276,27,"N","I"
537,70061,910,"N","I"
538,77392,359,"N","I"
539,78678,459,"N","I"
540,60328,60335,"N","I"
541,84354,53685,"N","I"
542,144,1351,"N","I"
543,355,1281,"N","I"
544,1351,144,"N","I"
554,18,51698,"N","I"
555,1054,334,"N","I"
556,1055,911,"N","I"
557,237,877,"N","I"
558,84016,427,"N","I"
578,83441,50235,"N",""
579,51531,1167,"N",""
580,51529,1167,"N",""
581,51469,68,"Y",""
582,51523,96,"Y",""
583,68617,68616,"Y",""
584,71878,321,"Y",""
585,51503,1748,"Y",""
586,68794,465,"Y",""
601,50896,50895,"Y",""
602,54428,246,"Y",""
603,202,1731,"N","I"
